
Nombre Apellido Departamento Salario
ALONSO NARANJO Marketing 3577411
ALONSO SANTA Finanzas 6429063
ALONSO GONZALEZ Marketing 3653639
ALONSO CUADROS Gestion_operaciones 4884000
ALONSO MONCADA Finanzas 1297294
ALONSO SUESCUN Gestion_operaciones 1248060
ALONSO RAMIREZ Marketing 3195892
ALONSO NOVA Gestion_Humana 2691367
ALONSO MEJ�A Gestion_Humana 4164585
ALONSO DUQUE Finanzas 5767446
ALONSO HIGUITA Gestion_Humana 4487442
ALONSO MOLANO Tecnologia 1701996
ALONSO AGUIRRE Gestion_Humana 1768842
ALONSO PE�A Gestion_Humana 6070978
ALONSO WILCHES Gestion_Humana 3241877
ALONSO PEREZ Gestion_operaciones 4515879
ALONSO GUERRA Gestion_Humana 4233638
ALONSO PEREZ Marketing 3269845
ALONSO BETANCUR Gestion_Humana 3585316
ALONSO SALAZAR Gestion_Humana 6329255
ALONSO RODRIGUEZ Gestion_operaciones 3445045
ALONSO CARANGUAY Marketing 1716339
ALONSO CASTRO Finanzas 4345395
ALONSO TOBAR Finanzas 2508913
ALONSO HURTADO Gestion_Humana 6206410
ALONSO ALVAREZ Gestion_Humana 5237398
ALONSO MARULANDA Tecnologia 2284168
ALONSO VANEGAS Tecnologia 4233927
ALONSO VIRGUEZ Gestion_operaciones 4436233
ALONSO GONZALEZ Finanzas 1895041
ALONSO MARRUGO Tecnologia 5047273
ALONSO GALVIS Gestion_Humana 1708578
ALONSO PORTILLA Finanzas 4402779
ALONSO GOMEZ Gestion_Humana 4353713
ALONSO RENDON Gestion_Humana 5377691
ALONSO BOLA�OS Gestion_operaciones 5539907
ALONSO GALLARDO Gestion_operaciones 1220405
ALONSO ARRIETA Finanzas 4985976
ALONSO VEGA Marketing 2126313
ALONSO CONGIU Gestion_Humana 6265904
ALONSO BAENA Gestion_Humana 1616745
ANDRES NARANJO Finanzas 4722686
ANDRES SANTA Tecnologia 1834062
ANDRES GONZALEZ Finanzas 6312563
ANDRES CUADROS Gestion_operaciones 6243038
ANDRES MONCADA Gestion_Humana 5614847
ANDRES SUESCUN Marketing 6759525
ANDRES RAMIREZ Tecnologia 1615660
ANDRES NOVA Tecnologia 4474145
ANDRES MEJ�A Gestion_Humana 2908081
ANDRES DUQUE Marketing 2089043
ANDRES HIGUITA Gestion_operaciones 4862264
ANDRES MOLANO Gestion_Humana 3620706
ANDRES AGUIRRE Gestion_operaciones 3960181
ANDRES PE�A Finanzas 4088582
ANDRES WILCHES Gestion_operaciones 4232788
ANDRES PEREZ Finanzas 2185571
ANDRES GUERRA Marketing 1356261
ANDRES PEREZ Gestion_operaciones 4232586
ANDRES BETANCUR Finanzas 6640783
ANDRES BETANCUR Marketing 2469577
ANDRES SALAZAR Gestion_operaciones 3368230
ANDRES RODRIGUEZ Finanzas 4221696
ANDRES CARANGUAY Tecnologia 3191865
ANDRES CASTRO Gestion_Humana 1172050
ANDRES TOBAR Marketing 6849669
ANDRES HURTADO Tecnologia 1232391
ANDRES ALVAREZ Finanzas 6784951
ANDRES MARULANDA Tecnologia 3501728
ANDRES VANEGAS Finanzas 2954666
ANDRES VIRGUEZ Tecnologia 3078126
ANDRES GONZALEZ Finanzas 1494934
ANDRES MARRUGO Marketing 4766068
ANDRES GALVIS Finanzas 5213222
ANDRES PORTILLA Finanzas 2600882
ANDRES GOMEZ Gestion_operaciones 4106215
ANDRES RENDON Gestion_operaciones 6904158
ANDRES BOLA�OS Tecnologia 3719746
ANDRES GALLARDO Tecnologia 6713245
ANDRES ARRIETA Marketing 2546998
ANDRES VEGA Gestion_Humana 5758728
ANDRES CONGIU Gestion_operaciones 3688489
ANDRES BAENA Finanzas 5315479
FELIPE NARANJO Finanzas 4187877
FELIPE SANTA Finanzas 2379899
FELIPE GONZALEZ Gestion_operaciones 1452533
FELIPE CUADROS Tecnologia 3117971
FELIPE MONCADA Tecnologia 2968473
FELIPE SUESCUN Gestion_Humana 5341735
FELIPE RAMIREZ Gestion_operaciones 3527138
FELIPE NOVA Gestion_operaciones 6554036
FELIPE MEJ�A Tecnologia 6170786
FELIPE DUQUE Gestion_Humana 1807467
FELIPE HIGUITA Marketing 3305080
FELIPE MOLANO Finanzas 4973572
FELIPE AGUIRRE Marketing 4803769
FELIPE PE�A Finanzas 4744234
FELIPE WILCHES Finanzas 5953365
FELIPE PEREZ Gestion_operaciones 3647987
FELIPE GUERRA Gestion_operaciones 1674038
FELIPE PEREZ Gestion_Humana 3014265
FELIPE BETANCUR Gestion_Humana 4673873
FELIPE BETANCUR Gestion_Humana 2984967
FELIPE SALAZAR Gestion_operaciones 6665232
FELIPE RODRIGUEZ Marketing 3615009
FELIPE CARANGUAY Gestion_operaciones 3436625
FELIPE CASTRO Gestion_operaciones 1964060
FELIPE TOBAR Finanzas 3750652
FELIPE HURTADO Finanzas 5848587
FELIPE ALVAREZ Finanzas 5931782
FELIPE MARULANDA Gestion_Humana 3078231
FELIPE VANEGAS Tecnologia 6145508
FELIPE VIRGUEZ Finanzas 5208782
FELIPE GONZALEZ Tecnologia 6421083
FELIPE MARRUGO Finanzas 1798965
FELIPE GALVIS Marketing 6262835
FELIPE PORTILLA Gestion_Humana 2400632
FELIPE GOMEZ Tecnologia 6053746
FELIPE RENDON Finanzas 1218572
FELIPE BOLA�OS Gestion_Humana 1273107
FELIPE GALLARDO Tecnologia 1682974
FELIPE ARRIETA Gestion_Humana 4784033
FELIPE VEGA Tecnologia 3995715
FELIPE CONGIU Gestion_operaciones 3040751
FELIPE BAENA Gestion_operaciones 3109097
ANDRES NARANJO Gestion_operaciones 1346525
ANDRES SANTA Finanzas 5874364
ANDRES GONZALEZ Finanzas 3135861
ANDRES CUADROS Gestion_operaciones 2658258
ANDRES MONCADA Gestion_Humana 4253810
ANDRES SUESCUN Tecnologia 2895556
ANDRES RAMIREZ Finanzas 1316413
ANDRES NOVA Gestion_operaciones 1771766
ANDRES MEJ�A Tecnologia 3570551
ANDRES DUQUE Finanzas 5166533
ANDRES HIGUITA Marketing 3190428
ANDRES MOLANO Gestion_Humana 6681020
ANDRES AGUIRRE Gestion_operaciones 5676162
ANDRES PE�A Tecnologia 3951308
ANDRES WILCHES Marketing 1809022
ANDRES PEREZ Tecnologia 6745002
ANDRES GUERRA Marketing 1565459
ANDRES PEREZ Marketing 6159037
ANDRES BETANCUR Gestion_operaciones 3386064
ANDRES BETANCUR Tecnologia 3412952
ANDRES SALAZAR Tecnologia 4122047
ANDRES RODRIGUEZ Gestion_Humana 3319176
ANDRES CARANGUAY Finanzas 2566767
ANDRES CASTRO Gestion_Humana 4150864
ANDRES TOBAR Gestion_operaciones 3774858
ANDRES HURTADO Finanzas 2316645
ANDRES ALVAREZ Gestion_Humana 4008440
ANDRES MARULANDA Gestion_Humana 5473553
ANDRES VANEGAS Gestion_Humana 2910226
ANDRES VIRGUEZ Marketing 1663362
ANDRES GONZALEZ Tecnologia 4042862
ANDRES MARRUGO Marketing 4159060
ANDRES GALVIS Gestion_Humana 2911098
ANDRES PORTILLA Tecnologia 3902280
ANDRES GOMEZ Gestion_operaciones 5244411
ANDRES RENDON Gestion_operaciones 2768106
ANDRES BOLA�OS Finanzas 4897783
ANDRES GALLARDO Gestion_Humana 2012327
ANDRES ARRIETA Marketing 5639780
ANDRES VEGA Tecnologia 4703159
ANDRES CONGIU Finanzas 6968118
ANDRES BAENA Gestion_Humana 5956509
FELIPE NARANJO Gestion_Humana 1438445
FELIPE SANTA Finanzas 6182434
FELIPE GONZALEZ Marketing 5899169
FELIPE CUADROS Gestion_Humana 6997537
FELIPE MONCADA Finanzas 5665730
FELIPE SUESCUN Gestion_operaciones 2137847
FELIPE RAMIREZ Gestion_operaciones 3296882
FELIPE NOVA Finanzas 3166803
FELIPE MEJ�A Marketing 5969745
FELIPE DUQUE Finanzas 2673607
FELIPE HIGUITA Tecnologia 4037915
FELIPE MOLANO Gestion_Humana 1818685
FELIPE AGUIRRE Finanzas 6380138
FELIPE PE�A Finanzas 4397328
FELIPE WILCHES Gestion_operaciones 3426514
FELIPE PEREZ Finanzas 1782476
FELIPE GUERRA Marketing 5079898
FELIPE PEREZ Gestion_operaciones 4089566
FELIPE BETANCUR Tecnologia 6081549
FELIPE BETANCUR Tecnologia 6625845
FELIPE SALAZAR Marketing 4274097
FELIPE RODRIGUEZ Gestion_Humana 6450224
FELIPE CARANGUAY Gestion_operaciones 3662168
FELIPE CASTRO Marketing 5478510
FELIPE TOBAR Marketing 6074888
FELIPE HURTADO Marketing 4134864
FELIPE ALVAREZ Finanzas 1935961
FELIPE MARULANDA Finanzas 5293966
FELIPE VANEGAS Finanzas 1941772
FELIPE VIRGUEZ Tecnologia 6766149
FELIPE GONZALEZ Gestion_operaciones 5981148
FELIPE MARRUGO Gestion_operaciones 2246127
FELIPE GALVIS Finanzas 2104724
FELIPE PORTILLA Tecnologia 3691157
FELIPE GOMEZ Marketing 5150330
FELIPE RENDON Tecnologia 5675249
FELIPE BOLA�OS Tecnologia 3676939
FELIPE GALLARDO Finanzas 4761106
FELIPE ARRIETA Marketing 2029638
FELIPE VEGA Marketing 4098207
FELIPE CONGIU Marketing 3606644
FELIPE BAENA Finanzas 6243651
ANDRES NARANJO Gestion_operaciones 6751733
ANDRES SANTA Tecnologia 6491164
ANDRES GONZALEZ Marketing 6758782
ANDRES CUADROS Tecnologia 2653096
ANDRES MONCADA Tecnologia 4677251
ANDRES SUESCUN Finanzas 2718092
ANDRES RAMIREZ Marketing 1302316
ANDRES NOVA Finanzas 1843221
ANDRES MEJ�A Marketing 5054183
ANDRES DUQUE Tecnologia 3821982
ANDRES HIGUITA Finanzas 1925793
ANDRES MOLANO Gestion_Humana 6491355
ANDRES AGUIRRE Tecnologia 6230155
ANDRES PE�A Marketing 2838772
ANDRES WILCHES Marketing 1218318
ANDRES PEREZ Finanzas 5294408
ANDRES GUERRA Tecnologia 3056977
ANDRES PEREZ Gestion_operaciones 2434926
ANDRES BETANCUR Gestion_operaciones 2584106
ANDRES BETANCUR Gestion_operaciones 4569277
ANDRES SALAZAR Finanzas 2761082
ANDRES RODRIGUEZ Marketing 2687546
ANDRES CARANGUAY Tecnologia 4307452
ANDRES CASTRO Gestion_operaciones 2804637
ANDRES TOBAR Gestion_Humana 1832857
ANDRES HURTADO Marketing 1755643
ANDRES ALVAREZ Gestion_operaciones 3162177
